,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
61,61,Sunrise Wind,43824,47067.042369761104,55327.43568131766,2028-01-01 00:00:00,2028-05-15 04:00:00,2029-04-24 08:00:00,monopile,40,NY,new_london_1,924,False,2029-01-01 00:00:00
62,62,Momentum Wind,35064,45308.779586396544,51091.20391944186,2027-01-01 00:00:00,2028-03-02 21:00:00,2028-10-29 20:00:00,monopile,40,MD,tradepoint_1,809,False,2028-01-01 00:00:00
63,63,CVOW-C,26304,26304.0,47067.042369761104,2026-01-01 00:00:00,2026-01-01 00:00:00,2028-05-15 04:00:00,monopile,40,VA,portsmouth_1,2587,False,2027-01-01 00:00:00
64,64,Maine Research Array,43824,43824.0,46239.692152350064,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-04-10 16:00:00,semisub,800,ME,searsport_1,144,False,2029-01-01 00:00:00
65,65,Empire Wind 1,35064,39903.839084683,45308.779586396544,2027-01-01 00:00:00,2027-07-21 16:00:00,2028-03-02 21:00:00,monopile,40,NY,sbmt,816,False,2028-01-01 00:00:00
66,66,MarWin,26304,38589.82558748406,39903.839084683,2026-01-01 00:00:00,2027-05-27 22:00:00,2027-07-21 16:00:00,monopile,40,MD,tradepoint_1,248,False,2027-01-01 00:00:00
67,67,Atlantic Shores Offshore Wind South 1,26304,26304.0,38589.82558748406,2026-01-01 00:00:00,2026-01-01 00:00:00,2027-05-27 22:00:00,monopile,40,NJ,njwp_1,1510,False,2027-01-01 00:00:00
68,68,Revolution Wind 1,8760,8760.0,15997.064565998087,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-10-28 14:00:00,monopile,40,RI/CT,new_london_1,704,False,2025-01-01 00:00:00
69,69,Vineyard Wind 1,0,0.0,8078.474759646382,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-12-03 15:00:00,monopile,40,MA,new_bedford,800,False,2024-01-01 00:00:00
70,70,South Fork,0,0.0,3785.9569112472955,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-06-07 18:00:00,monopile,40,NY,new_london_1,132,False,2024-01-01 00:00:00
