,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
1678,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,5468.384360356366,MonopileInstallation,MonopileInstallation,,40.0,
1679,,WTIV,Lift Tower Section,1.32,16500.0,ACTION,5469.040630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1680,,Feeder 0,Fasten Nacelle,2.0,6250.0,ACTION,5470.057375763371,TurbineInstallation,TurbineInstallation,,,
1681,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,5470.807375763371,TurbineInstallation,TurbineInstallation,,,
1682,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5471.040630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1683,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,5471.557375763371,TurbineInstallation,TurbineInstallation,,,
1684,,WTIV,Release Nacelle,1.0,12500.0,ACTION,5472.040630895151,TurbineInstallation,,,,
1685,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,5472.307375763371,TurbineInstallation,TurbineInstallation,,,
1686,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,5472.384360356366,MonopileInstallation,MonopileInstallation,,40.0,
1687,,WTIV,Reequip,1.0,12500.0,ACTION,5473.040630895151,TurbineInstallation,,,,
1688,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,5474.051027023033,MonopileInstallation,MonopileInstallation,,40.0,
1689,,WTIV,Lift Nacelle,1.32,16500.0,ACTION,5474.360630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1690,,WTIV,Attach Nacelle,2.0,25000.0,ACTION,5476.360630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1691,,WTIV,Reequip,1.0,12500.0,ACTION,5477.360630895151,TurbineInstallation,,,,
1692,,WTIV,Release Blade,0.5,6250.0,ACTION,5477.860630895151,TurbineInstallation,,,,
1693,,WTIV,Lift Blade,1.32,16500.0,ACTION,5479.180630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1694,,Feeder 0,Transit,8.01674486822009,25052.327713187784,ACTION,5480.324120631591,TurbineInstallation,,,,
1695,,WTIV,Attach Blade,1.5,18750.0,ACTION,5480.680630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1696,,WTIV,Release Blade,0.5,6250.0,ACTION,5481.180630895151,TurbineInstallation,,,,
1697,,Feeder 0,Jackup,1.6666666666666667,5208.333333333334,ACTION,5481.990787298258,TurbineInstallation,TurbineInstallation,,,
1698,,WTIV,Lift Blade,1.32,16500.0,ACTION,5482.500630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1699,,WTIV,Attach Blade,1.5,18750.0,ACTION,5484.000630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1700,,WTIV,Release Blade,0.5,6250.0,ACTION,5484.500630895151,TurbineInstallation,,,,
1701,,Feeder 1,ActiveFeeder,30.12666666666678,94145.83333333368,ACTION,5484.500630895151,TurbineInstallation,,Site,,
1702,,Feeder 0,Queue,2.5098435968932336,7843.261240291355,ACTION,5484.500630895151,TurbineInstallation,,Site,,
1703,,Feeder 1,Transit,37.11467868303137,115983.37088447304,ACTION,5484.904833779897,MonopileInstallation,,,,
1704,,WTIV,Lift Blade,1.32,16500.0,ACTION,5485.820630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
