,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
30,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,144.53742734705912,MonopileInstallation,MonopileInstallation,,40.0,
31,,Feeder 1,Delay,10.0,31250.0,ACTION,145.0,MonopileInstallation,MonopileInstallation,,,
32,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,145.53742734705912,MonopileInstallation,MonopileInstallation,,40.0,
33,,Feeder 1,Fasten Transition Piece,1.0,3125.0,ACTION,146.0,MonopileInstallation,MonopileInstallation,,,
34,,Feeder 1,Delay,38.0,118750.0,ACTION,184.0,MonopileInstallation,,,,
35,,Feeder 1,Transit,39.339640768210714,122936.37740065849,ACTION,223.3396407682107,MonopileInstallation,,,,
36,,Feeder 1,Delay,247.0,771875.0,ACTION,470.3396407682107,MonopileInstallation,MonopileInstallation,,,
37,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,472.0063074348774,MonopileInstallation,MonopileInstallation,,,
38,,WTIV,Delay,2745.0,57187500.0,ACTION,2890.5374273470593,MonopileInstallation,MonopileInstallation,,40.0,
39,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,2891.737427347059,MonopileInstallation,MonopileInstallation,,40.0,
40,1.0,WTIV,Mobilize,168.0,2100000.0,ACTION,2897.4141754299076,TurbineInstallation,,,,
41,0.5,Feeder 0,Mobilize,72.0,112500.0,ACTION,2897.4141754299076,TurbineInstallation,,,,
42,0.5,Feeder 1,Mobilize,72.0,112500.0,ACTION,2897.4141754299076,TurbineInstallation,,,,
43,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,2899.4141754299076,TurbineInstallation,TurbineInstallation,,,
44,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,2901.4141754299076,TurbineInstallation,TurbineInstallation,,,
45,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,2901.737427347059,MonopileInstallation,,,,
46,,WTIV,Transit,4.841543614544483,60519.29518180603,ACTION,2902.2557190444522,TurbineInstallation,,,,
47,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,2902.737427347059,MonopileInstallation,MonopileInstallation,,40.0,
48,,Feeder 0,Fasten Nacelle,2.0,6250.0,ACTION,2903.4141754299076,TurbineInstallation,TurbineInstallation,,,
49,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,2903.737427347059,MonopileInstallation,MonopileInstallation,,40.0,
50,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,2904.1641754299076,TurbineInstallation,TurbineInstallation,,,
51,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,2904.9141754299076,TurbineInstallation,TurbineInstallation,,,
52,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,2905.6641754299076,TurbineInstallation,TurbineInstallation,,,
53,,Feeder 1,Queue,8.25,25781.25,ACTION,2905.6641754299076,TurbineInstallation,,,,
54,,Feeder 1,Fasten Tower Section,2.0,6250.0,ACTION,2907.6641754299076,TurbineInstallation,TurbineInstallation,,,
55,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,2907.737427347059,MonopileInstallation,MonopileInstallation,,40.0,
56,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,2909.4040940137256,MonopileInstallation,MonopileInstallation,,40.0,
57,,Feeder 1,Fasten Tower Section,2.0,6250.0,ACTION,2909.6641754299076,TurbineInstallation,TurbineInstallation,,,
58,,Feeder 0,Transit,4.841543614544483,15129.823795451508,ACTION,2910.5057190444522,TurbineInstallation,,,,
59,,Feeder 1,Fasten Nacelle,1.0,3125.0,ACTION,2910.6641754299076,TurbineInstallation,TurbineInstallation,,,
60,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,2914.4040940137256,MonopileInstallation,,,,
61,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,2916.070760680392,MonopileInstallation,MonopileInstallation,,40.0,
62,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,2917.070760680392,MonopileInstallation,MonopileInstallation,,40.0,
63,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,2927.070760680392,MonopileInstallation,,,,
64,,WTIV,Delay,33.0,687500.0,ACTION,2960.070760680392,MonopileInstallation,MonopileInstallation,,40.0,
65,,WTIV,Upend Monopile,0.8594532455150841,17905.275948230916,ACTION,2960.930213925907,MonopileInstallation,MonopileInstallation,,40.0,
66,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,2960.935213925907,MonopileInstallation,MonopileInstallation,,40.0,
67,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,2961.935213925907,MonopileInstallation,MonopileInstallation,,40.0,
68,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,2963.135213925907,MonopileInstallation,MonopileInstallation,,40.0,
69,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,2973.135213925907,MonopileInstallation,,,,
70,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,2974.135213925907,MonopileInstallation,MonopileInstallation,,40.0,
71,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,2975.135213925907,MonopileInstallation,MonopileInstallation,,40.0,
72,,Feeder 0,Delay,68.0,212500.0,ACTION,2978.5057190444522,TurbineInstallation,TurbineInstallation,,,
73,,Feeder 1,Delay,68.0,212500.0,ACTION,2978.6641754299076,TurbineInstallation,TurbineInstallation,,,
74,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,2979.135213925907,MonopileInstallation,MonopileInstallation,,40.0,
75,,Feeder 1,Fasten Nacelle,1.0,3125.0,ACTION,2979.6641754299076,TurbineInstallation,TurbineInstallation,,,
76,,Feeder 0,Jackup,1.6666666666666667,5208.333333333334,ACTION,2980.1723857111187,TurbineInstallation,TurbineInstallation,,,
77,,WTIV,Delay: Not enough vessels for turbines,77.91666666666667,973958.3333333334,ACTION,2980.1723857111187,TurbineInstallation,,Site,,
78,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,2980.4141754299076,TurbineInstallation,TurbineInstallation,,,
79,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,2980.8018805925735,MonopileInstallation,MonopileInstallation,,40.0,
80,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,2981.1641754299076,TurbineInstallation,TurbineInstallation,,,
81,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,2981.9141754299076,TurbineInstallation,TurbineInstallation,,,
82,,WTIV,Position Onsite,5.0,62500.0,ACTION,2985.1723857111187,TurbineInstallation,,,,
83,,WTIV,Jackup,0.43333333333333335,5416.666666666667,ACTION,2985.605719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
84,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,2985.8018805925735,MonopileInstallation,,,,
85,,WTIV,Release Tower Section,1.0,12500.0,ACTION,2986.605719044452,TurbineInstallation,,,,
86,,Feeder 1,Transit,4.841543614544483,15129.823795451508,ACTION,2986.7557190444522,TurbineInstallation,,,,
87,,WTIV,Lift Tower Section,0.62,7750.0,ACTION,2987.225719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
88,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,2987.46854725924,MonopileInstallation,MonopileInstallation,,40.0,
89,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,2988.4223857111187,TurbineInstallation,TurbineInstallation,,,
90,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,2988.46854725924,MonopileInstallation,MonopileInstallation,,40.0,
91,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,2989.225719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
92,,WTIV,Release Tower Section,1.0,12500.0,ACTION,2990.225719044452,TurbineInstallation,,,,
93,,WTIV,Lift Tower Section,1.24,15500.0,ACTION,2991.4657190444523,TurbineInstallation,TurbineInstallation,,40.0,122.0
