,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,num_vessels,num_ahts_vessels
941,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7311.436780661056,MooredSubInstallation,,,
942,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7314.936780661056,MooredSubInstallation,,,
943,,Towing Group 3,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,7318.185472772067,MooredSubInstallation,,2.0,1.0
944,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7318.436780661056,MooredSubInstallation,,,
945,,Towing Group 3,Check Mooring Lines,6.0,42500.0,ACTION,7324.185472772067,MooredSubInstallation,,2.0,1.0
946,,Towing Group 3,Transit,6.383414757897432,45215.85453510682,ACTION,7330.568887529966,MooredSubInstallation,,2.0,1.0
947,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,7342.436780661056,MooredSubInstallation,,,
948,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,7414.436780661056,MooredSubInstallation,,,
949,,Towing Group 1,Delay: No Completed Turbine Assemblies,400.867893131091,2839480.9096785616,ACTION,7414.436780661056,MooredSubInstallation,,2.0,1.0
950,,Towing Group 1,Ballast to Towing Draft,6.0,42500.0,ACTION,7420.436780661056,MooredSubInstallation,,2.0,1.0
951,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,7422.436780661056,MooredSubInstallation,,,
952,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,7434.436780661056,MooredSubInstallation,,,
953,,Towing Group 1,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,7436.685472772067,MooredSubInstallation,,2.0,1.0
954,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7438.436780661056,MooredSubInstallation,,,
955,,Towing Group 1,Position Substructure,2.0,14166.666666666668,ACTION,7438.685472772067,MooredSubInstallation,,2.0,1.0
956,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7442.436780661056,MooredSubInstallation,,,
957,,Towing Group 1,Ballast to Operational Draft,6.0,42500.0,ACTION,7444.685472772067,MooredSubInstallation,,2.0,1.0
958,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,7445.936780661056,MooredSubInstallation,,,
959,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,7454.436780661056,MooredSubInstallation,,,
960,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7457.936780661056,MooredSubInstallation,,,
961,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7461.436780661056,MooredSubInstallation,,,
962,,Towing Group 1,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,7464.685472772067,MooredSubInstallation,,2.0,1.0
963,,Towing Group 1,Check Mooring Lines,6.0,42500.0,ACTION,7470.685472772067,MooredSubInstallation,,2.0,1.0
964,,Towing Group 1,Transit,1.0,7083.333333333334,ACTION,7471.685472772067,MooredSubInstallation,,2.0,1.0
965,,Towing Group 1,Delay,31.0,219583.33333333334,ACTION,7502.685472772067,MooredSubInstallation,,2.0,1.0
966,,Turbine Assembly Line 1,Delay,43.0,0.0,ACTION,7504.436780661056,MooredSubInstallation,,,
967,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7507.936780661056,MooredSubInstallation,,,
968,,Towing Group 1,Transit,5.383414757897432,38132.52120177348,ACTION,7508.068887529966,MooredSubInstallation,,2.0,1.0
969,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,7531.936780661056,MooredSubInstallation,,,
970,,Turbine Assembly Line 1,Delay,52.0,0.0,ACTION,7583.936780661056,MooredSubInstallation,,,
