,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp,port:searsport,port:tradepoint,port:portsmouth,port:salem,port:arthur_kill
202,2042-08-04 02:47:27.511608,2,2,3,10,0,1,0,1,1,0,1,1,0,1,1,1
203,2042-08-04 02:47:27.511608,2,3,3,10,0,1,0,1,1,0,1,1,0,1,1,1
204,2042-08-04 02:47:27.511608,2,3,3,10,0,1,1,1,1,0,1,1,0,1,1,1
205,2042-08-04 02:47:27.511608,2,3,4,10,0,1,1,1,1,0,1,1,0,1,1,1
206,2042-08-04 02:47:27.511608,2,3,4,10,0,1,1,1,1,0,1,1,0,1,1,1
207,2042-08-04 02:47:27.511608,2,3,4,10,0,1,1,1,1,0,1,1,0,1,1,1
208,2042-11-02 02:47:27.511608,2,3,4,10,0,1,1,1,1,1,1,1,0,1,1,1
209,2042-12-22 15:10:16.158782,2,3,4,10,0,1,0,1,1,1,1,1,0,0,1,1
210,2042-12-22 15:10:16.158782,2,4,4,10,0,1,0,1,1,1,1,1,0,0,1,1
211,2043-01-19 07:14:00.690381,2,4,4,10,0,2,0,1,1,1,1,1,0,0,1,1
212,2043-01-19 07:14:00.690381,2,4,5,10,0,2,0,1,1,1,1,1,0,0,1,1
213,2043-01-19 07:14:00.690381,2,4,5,10,0,2,0,1,1,1,1,1,0,0,1,1
214,2043-01-19 07:14:00.690381,2,4,5,10,0,2,0,1,1,1,1,1,0,0,1,1
215,2043-04-19 07:14:00.690381,2,4,5,10,0,2,0,1,1,1,1,1,1,0,1,1
216,2045-05-17 17:21:53.236354,2,4,4,10,0,1,0,1,1,1,0,1,1,0,1,1
217,2045-05-17 17:21:53.236354,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
218,2045-05-17 17:21:53.236354,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
219,2045-08-15 17:21:53.236354,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,1
220,2045-09-18 19:50:50.223560,2,4,3,10,0,0,1,1,1,1,0,1,1,0,1,1
221,2045-09-20 23:40:32.921803,2,4,3,10,0,1,1,1,1,1,0,1,1,0,1,1
222,2045-09-20 23:40:32.921803,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
223,2045-09-20 23:40:32.921803,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
224,2045-12-19 23:40:32.921803,2,4,4,10,0,1,1,1,1,1,1,1,1,0,1,1
